game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_name,away_club_name,aggregate,competition_type
3837980,GB1,2022,6. Matchday,2022-09-03,148,931,2,1,3.0,10.0,Antonio Conte,Marco Silva,Tottenham Hotspur Stadium,61641.0,Stuart Attwell,https://www.transfermarkt.co.uk/tottenham-hotspur_fulham-fc/index/spielbericht/3837980,Tottenham Hotspur,Fulham FC,2:1,domestic_league
3838759,GB1,2022,24. Matchday,2023-02-19,148,379,2,0,5.0,19.0,Antonio Conte,David Moyes,Tottenham Hotspur Stadium,61476.0,Michael Oliver,https://www.transfermarkt.co.uk/tottenham-hotspur_west-ham-united/index/spielbericht/3838759,Tottenham Hotspur,West Ham United,2:0,domestic_league
3839080,L1,2022,3. Matchday,2022-08-20,15,533,0,3,17.0,6.0,Gerardo Seoane,André Breitenreiter,BayArena,26339.0,Tobias Reichel,https://www.transfermarkt.co.uk/bayer-04-leverkusen_tsg-1899-hoffenheim/index/spielbericht/3839080,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,0:3,domestic_league
3839133,L1,2022,7. Matchday,2022-09-17,15,86,1,1,15.0,10.0,Gerardo Seoane,Ole Werner,BayArena,30210.0,Tobias Welz,https://www.transfermarkt.co.uk/bayer-04-leverkusen_sv-werder-bremen/index/spielbericht/3839133,Bayer 04 Leverkusen,SV Werder Bremen,1:1,domestic_league
3839430,L1,2022,25. Matchday,2023-03-19,15,27,2,1,8.0,2.0,Xabi Alonso,Julian Nagelsmann,BayArena,30210.0,Tobias Stieler,https://www.transfermarkt.co.uk/bayer-04-leverkusen_bayern-munich/index/spielbericht/3839430,Bayer 04 Leverkusen,Bayern Munich,2:1,domestic_league
3839437,L1,2022,25. Matchday,2023-03-18,79,82,0,1,18.0,7.0,Bruno Labbadia,Niko Kovac,Mercedes-Benz Arena,44900.0,Dr. Felix Brych,https://www.transfermarkt.co.uk/vfb-stuttgart_vfl-wolfsburg/index/spielbericht/3839437,VfB Stuttgart,VfL Wolfsburg,0:1,domestic_league
3839489,L1,2022,28. Matchday,2023-04-15,79,16,3,3,16.0,2.0,Sebastian Hoeneß,Edin Terzic,Mercedes-Benz Arena,47900.0,Harm Osmers,https://www.transfermarkt.co.uk/vfb-stuttgart_borussia-dortmund/index/spielbericht/3839489,VfB Stuttgart,Borussia Dortmund,3:3,domestic_league
3839565,L1,2022,33. Matchday,2023-05-21,15,18,2,2,6.0,11.0,Xabi Alonso,Daniel Farke,BayArena,30210.0,Daniel Siebert,https://www.transfermarkt.co.uk/bayer-04-leverkusen_borussia-monchengladbach/index/spielbericht/3839565,Bayer 04 Leverkusen,Borussia Mönchengladbach,2:2,domestic_league
3840035,FR1,2022,8. Matchday,2022-09-18,3911,1147,0,1,19.0,20.0,Michel Der Zakarian,Olivier Pantaloni,Stade Francis-Le Blé,11153.0,Stéphanie Frappart,https://www.transfermarkt.co.uk/stade-brestois-29_ac-ajaccio/index/spielbericht/3840035,Stade Brestois 29,AC Ajaccio,0:1,domestic_league
3840128,FR1,2022,17. Matchday,2023-01-01,415,1147,2,0,12.0,16.0,Philippe Montanier,Olivier Pantaloni,Stadium Municipal,25957.0,Pierre Gaillouste,https://www.transfermarkt.co.uk/fc-toulouse_ac-ajaccio/index/spielbericht/3840128,FC Toulouse,AC Ajaccio,2:0,domestic_league
